X	Y	Type	Color
-0.214466	-0.43828	red	#FF0000
-0.153284	-0.0960231	red	#FF0000
0.0370583	0.0614843	red	#FF0000
0.142474	0.675048	green	#008000
0.064897	0.0212467	red	#FF0000
0.0646896	0.0630756	red	#FF0000
-0.473122	0.106008	green	#008000
-0.0119478	0.0404369	green	#008000
-0.0287637	0.0152229	green	#008000
-1.19644	5.67689	green	#008000
0.262144	-0.0862133	red	#FF0000
-0.0186177	-0.0426544	red	#FF0000
0.00023207	-0.0420952	red	#FF0000
-0.0450693	0.302923	green	#008000
-0.136356	-0.0831059	red	#FF0000
-0.0653303	-0.0493238	red	#FF0000
-0.0372811	-0.0171848	green	#008000
-0.000173995	-0.000182236	green	#008000
0.0230607	0.0479743	blue	#3399FF
0.165813	-0.481441	red	#FF0000
0.290278	0.200967	green	#008000
0.253311	-0.299663	green	#008000
0.882013	-0.210007	red	#FF0000
4.31541	-14.4877	red	#FF0000
0.23377	0.972091	red	#FF0000
0.422859	-0.527338	red	#FF0000
0.0239888	0.0260443	red	#FF0000
-0.219329	-0.0885205	red	#FF0000
-0.0977575	-0.00344119	green	#008000
0.00419071	0.00320261	red	#FF0000
-0.0733409	-0.430373	red	#FF0000
0.318575	0.153079	red	#FF0000
0.0214238	0.0214084	green	#008000
-0.131417	0.173044	green	#008000
0.518791	-0.629471	red	#FF0000
-0.457852	0.0283499	red	#FF0000
-0.0824076	-0.110787	red	#FF0000
0.354338	-0.866796	green	#008000
0.122656	-0.375681	red	#FF0000
-0.0152504	0.015184	green	#008000
-0.0476783	-0.112096	red	#FF0000
-0.203754	0.0737673	red	#FF0000
0.0190158	-0.114434	green	#008000
-0.0105544	-0.127639	green	#008000
-1.38734	0.53716	red	#FF0000
-0.0915361	0.00125507	red	#FF0000
0.0576409	0.0314103	red	#FF0000
-0.234973	0.863695	red	#FF0000
0.918241	-0.347356	red	#FF0000
0.0830899	-0.168043	green	#008000
-0.0268869	0.0284648	green	#008000
0.017379	-0.212403	red	#FF0000
2.05355	3.71951	red	#FF0000
0.0230635	0.0180852	red	#FF0000
-0.0544307	-0.109632	green	#008000
-0.122488	-0.044266	red	#FF0000
0.163456	-0.607484	green	#008000
-0.670519	-0.401646	red	#FF0000
0.0615232	0.019167	red	#FF0000
-0.438591	-0.792785	red	#FF0000
-0.0380153	-0.363614	green	#008000
-0.125575	0.140035	red	#FF0000
-0.537284	0.837289	red	#FF0000
0.0436826	0.0974439	green	#008000
-0.449047	1.70068	green	#008000
0.270474	-0.185421	red	#FF0000
6.88816	4.71435	red	#FF0000
0.0971151	0.127192	red	#FF0000
0.0426082	0.00464261	red	#FF0000
0.0308624	-0.179958	green	#008000
0.0287668	-0.0034474	red	#FF0000
0.477751	9.40262	red	#FF0000
0.137488	0.0872517	green	#008000
-0.0626645	0.141054	green	#008000
0.0035508	-0.0278323	red	#FF0000
0.73968	0.216203	red	#FF0000
-0.0763558	0.0647649	red	#FF0000
0.0128727	0.0479513	red	#FF0000
-0.0578102	0.124926	red	#FF0000
0.00743372	0.0678914	red	#FF0000
0.114705	-0.00733434	green	#008000
-0.231493	-0.299776	red	#FF0000
-0.177433	-0.0168752	green	#008000
-0.0914255	-0.0509748	red	#FF0000
-0.0582341	0.134685	red	#FF0000
0.0394157	0.0439628	red	#FF0000
-0.0173746	-0.0300448	green	#008000
0.101414	0.0752768	red	#FF0000
-0.0314952	-0.0322608	green	#008000
-0.0728313	-0.0193536	green	#008000
-0.206417	0.653183	green	#008000
0.0720193	0.104036	red	#FF0000
0.0354687	0.0316807	red	#FF0000
-0.190794	0.0175554	red	#FF0000
