X	Y	Type	Color
-0.0479374	0.39159	blue	#3399FF
0.0688906	-0.00142688	red	#FF0000
0.0238755	0.0236216	green	#008000
0.0295523	-0.00789245	red	#FF0000
0.0913361	0.0668236	red	#FF0000
-5.35248	4.14354	green	#008000
0.36863	-0.0795942	red	#FF0000
-0.193033	0.442022	green	#008000
0.00450226	-0.00836584	red	#FF0000
-0.248209	0.0789229	green	#008000
-0.098954	0.00702293	red	#FF0000
0.0826724	-0.131958	red	#FF0000
0.0149588	0.0473828	green	#008000
-0.000281834	0.002446	red	#FF0000
-0.8249	0.544932	green	#008000
-0.325379	-0.162266	green	#008000
0.0568014	-0.0157196	red	#FF0000
4.11933	-0.356338	green	#008000
-0.0273246	-0.0202783	red	#FF0000
0.0768438	-0.032194	red	#FF0000
0.0755944	0.191173	red	#FF0000
-0.0344277	-0.00436372	red	#FF0000
0.00164134	0.0841137	red	#FF0000
0.0917151	-0.101002	red	#FF0000
-0.0325115	0.00304805	red	#FF0000
-0.317889	-0.166294	red	#FF0000
-0.397655	-0.0118606	red	#FF0000
-0.0451682	-0.402178	red	#FF0000
-0.505799	-0.119048	green	#008000
-0.268476	-0.0691975	red	#FF0000
0.0175024	-3.54465	green	#008000
0.0606345	-0.0981154	green	#008000
-0.506232	0.0807092	blue	#3399FF
-0.025891	0.0556135	red	#FF0000
0.313155	-0.90982	red	#FF0000
0.765042	-0.635281	red	#FF0000
-0.0525301	-0.0451832	red	#FF0000
0.000131765	-0.00710158	green	#008000
0.488295	0.456072	red	#FF0000
0.0451924	0.661459	green	#008000
0.537978	-0.838548	green	#008000
-0.245823	-0.4115	green	#008000
-0.0950824	0.0375716	red	#FF0000
-0.0047749	0.0378609	green	#008000
-0.206309	0.20486	red	#FF0000
